Building Name: PSEUDO S1-M(HC) - Soil D,,,,,,,,,,,,,,,,,,,
Description,,"	",  Usage,School,,,,,,,,,,,,,,,
Latitude,14.55036,"	", Median Collapse Sa(g),4.255182482,,,,,,,,,,,,,,,
Longitude,121.00892,"	", Beta Collapse,0.9,,,,,,,,,,,,,,,
Number of Stories,5,,,,,,,,,,,,,,,,,,
Floor Area (sq.ft.),37444.91713,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Intensity, Intensity Description, MAFE, Sa, BetaM, BetaGM, EDP Type, Storey, Direction,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11
1, 63in50,0.02,0.387799768,0.2,0,Building Residual Drift,3,3,0.00017932,0.000340958,0.000545869,0.000604577,0.000635805,0.000668514,0.000702906,0.000739213,0.000818714,0.001310749,0.000234298
1, 63in50,0.02,0.387799768,0.2,0,Building Residual Drift,4,1,1.88E-04,3.57E-04,5.72E-04,6.34E-04,6.66E-04,7.01E-04,7.37E-04,7.75E-04,8.58E-04,1.37E-03,2.46E-04
1, 63in50,0.02,0.387799768,0.2,0,Building Residual Drift,4,2,1.88E-04,3.57E-04,5.72E-04,6.34E-04,6.66E-04,7.01E-04,7.37E-04,7.75E-04,8.58E-04,1.37E-03,2.46E-04
1, 63in50,0.02,0.387799768,0.2,0,Building Residual Drift,4,3,2.66E-04,5.05E-04,8.09E-04,8.96E-04,9.42E-04,9.91E-04,1.04E-03,1.10E-03,1.21E-03,1.94E-03,3.47E-04
1, 63in50,0.02,0.387799768,0.2,0,Building Residual Drift,5,1,1.75E-04,0.000332235,0.000531903,0.000589108,0.000619538,0.00065141,0.000684921,0.0007203,0.000797767,0.001277213,2.28E-04
1, 63in50,0.02,0.387799768,0.2,0,Building Residual Drift,5,2,1.75E-04,0.000332235,0.000531903,0.000589108,0.000619538,0.00065141,0.000684921,0.0007203,0.000797767,0.001277213,2.28E-04
1, 63in50,0.02,0.387799768,0.2,0,Building Residual Drift,5,3,2.47E-04,0.000469851,0.000752224,0.000833125,0.000876158,0.000921232,0.000968625,0.001018658,0.001128213,0.001806252,0.00032287
1, 63in50,0.02,0.387799768,0.2,0,Acceleration,0,1,0.072070905,0.116110606,0.164648294,0.177615458,0.184379857,0.191373719,0.19863287,0.206197707,0.222437167,0.315422522,0.087892539
1, 63in50,0.02,0.387799768,0.2,0,Acceleration,0,2,0.072070905,0.116110606,0.164648294,0.177615458,0.184379857,0.191373719,0.19863287,0.206197707,0.222437167,0.315422522,0.087892539
1, 63in50,0.02,0.387799768,0.2,0,Acceleration,0,3,0.101923651,0.164205194,0.232847851,0.25118619,0.260752495,0.270643308,0.280909298,0.291607593,0.314573658,0.446074809,0.124298821
