Building Name: PSEUDO C1-H (HC) - Soil C,,,,,,,,,,,,,,,,,,,
Description,,"	",  Usage,School,,,,,,,,,,,,,,,
Latitude,14.55036,"	", Median Collapse Sa(g),2.717294976,,,,,,,,,,,,,,,
Longitude,121.00892,"	", Beta Collapse,0.9,,,,,,,,,,,,,,,
Number of Stories,11,,,,,,,,,,,,,,,,,,
Floor Area (sq.ft.),194180.756,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Intensity, Intensity Description, MAFE, Sa, BetaM, BetaGM, EDP Type, Storey, Direction,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11
1, 63in50,0.02,0.144516603,0.2,0,Story Drift Ratio,8,3,0.000862469,0.00151549,0.002290065,0.002504747,0.002617889,0.002735666,0.002858741,0.002987874,0.003267972,0.004938249,0.001090495
1, 63in50,0.02,0.144516603,0.2,0,Story Drift Ratio,9,1,6.24E-04,1.10E-03,1.66E-03,1.81E-03,1.89E-03,1.98E-03,2.07E-03,2.16E-03,2.36E-03,3.57E-03,7.89E-04
1, 63in50,0.02,0.144516603,0.2,0,Story Drift Ratio,9,2,6.24E-04,1.10E-03,1.66E-03,1.81E-03,1.89E-03,1.98E-03,2.07E-03,2.16E-03,2.36E-03,3.57E-03,7.89E-04
1, 63in50,0.02,0.144516603,0.2,0,Story Drift Ratio,9,3,8.82E-04,1.55E-03,2.34E-03,2.56E-03,2.68E-03,2.80E-03,2.92E-03,3.06E-03,3.34E-03,5.05E-03,1.12E-03
1, 63in50,0.02,0.144516603,0.2,0,Story Drift Ratio,10,1,6.41E-04,0.001126597,0.001702406,0.001861998,0.001946106,0.00203366,0.002125153,0.002221148,0.00242937,0.003671033,8.11E-04
1, 63in50,0.02,0.144516603,0.2,0,Story Drift Ratio,10,2,6.41E-04,0.001126597,0.001702406,0.001861998,0.001946106,0.00203366,0.002125153,0.002221148,0.00242937,0.003671033,8.11E-04
1, 63in50,0.02,0.144516603,0.2,0,Story Drift Ratio,10,3,9.07E-04,0.001593248,0.002407565,0.002633263,0.00275221,0.00287603,0.00300542,0.003141178,0.003435648,0.005191624,0.001146448
1, 63in50,0.02,0.144516603,0.2,0,Story Drift Ratio,11,1,0.000660557,0.0011607,0.001753939,0.001918363,0.002005017,0.002095221,0.002189483,0.002288385,0.00250291,0.003782159,0.0008352
1, 63in50,0.02,0.144516603,0.2,0,Story Drift Ratio,11,2,0.000660557,0.0011607,0.001753939,0.001918363,0.002005017,0.002095221,0.002189483,0.002288385,0.00250291,0.003782159,0.0008352
1, 63in50,0.02,0.144516603,0.2,0,Story Drift Ratio,11,3,0.000934169,0.001641478,0.002480445,0.002712974,0.002835522,0.00296309,0.003096397,0.003236264,0.003539649,0.00534878,0.001181152
