Building Name: PSEUDO S1-M(HC) - Soil C2,,,,,,,,,,,,,,,,,,,
Description,,"	",  Usage,School,,,,,,,,,,,,,,,
Latitude,14.55036,"	", Median Collapse Sa(g),4.255182482,,,,,,,,,,,,,,,
Longitude,121.00892,"	", Beta Collapse,0.9,,,,,,,,,,,,,,,
Number of Stories,5,,,,,,,,,,,,,,,,,,
Floor Area (sq.ft.),37444.91713,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Intensity, Intensity Description, MAFE, Sa, BetaM, BetaGM, EDP Type, Storey, Direction,EQ1,EQ2,EQ3,EQ4,EQ5,EQ6,EQ7,EQ8,EQ9,EQ10,EQ11
1, 63in50,0.02,0.214113871,0.2,0,Building Residual Drift,4,1,2.98E-05,5.66E-05,9.07E-05,1.00E-04,1.06E-04,1.11E-04,1.17E-04,1.23E-04,1.36E-04,2.18E-04,3.89E-05
1, 63in50,0.02,0.214113871,0.2,0,Building Residual Drift,4,2,2.98E-05,5.66E-05,9.07E-05,1.00E-04,1.06E-04,1.11E-04,1.17E-04,1.23E-04,1.36E-04,2.18E-04,3.89E-05
1, 63in50,0.02,0.214113871,0.2,0,Building Residual Drift,4,3,4.21E-05,8.01E-05,1.28E-04,1.42E-04,1.49E-04,1.57E-04,1.65E-04,1.74E-04,1.92E-04,3.08E-04,5.50E-05
1, 63in50,0.02,0.214113871,0.2,0,Building Residual Drift,5,1,7.38E-05,0.000140354,0.000224704,0.000248871,0.000261726,0.00027519,0.000289347,0.000304293,0.000337019,0.000539563,9.64E-05
1, 63in50,0.02,0.214113871,0.2,0,Building Residual Drift,5,2,7.38E-05,0.000140354,0.000224704,0.000248871,0.000261726,0.00027519,0.000289347,0.000304293,0.000337019,0.000539563,9.64E-05
1, 63in50,0.02,0.214113871,0.2,0,Building Residual Drift,5,3,1.04E-04,0.00019849,0.00031778,0.000351956,0.000370136,0.000389178,0.000409199,0.000430335,0.000476617,0.000763057,0.000136397
1, 63in50,0.02,0.214113871,0.2,0,Acceleration,0,1,0.049848192,0.080308466,0.113879795,0.122848597,0.127527226,0.132364564,0.137385392,0.142617648,0.15384975,0.218163523,0.060791303
1, 63in50,0.02,0.214113871,0.2,0,Acceleration,0,2,0.049848192,0.080308466,0.113879795,0.122848597,0.127527226,0.132364564,0.137385392,0.142617648,0.15384975,0.218163523,0.060791303
1, 63in50,0.02,0.214113871,0.2,0,Acceleration,0,3,0.07049599,0.113573322,0.16105035,0.173734152,0.180350733,0.187191762,0.194292284,0.201691812,0.217576403,0.308529814,0.085971885
1, 63in50,0.02,0.214113871,0.2,0,Acceleration,1,1,0.040800546,0.065732159,0.093210157,0.100551086,0.104380525,0.108339867,0.112449394,0.116731975,0.125925406,0.178565972,0.049757438
1, 63in50,0.02,0.214113871,0.2,0,Acceleration,1,2,0.040800546,0.065732159,0.093210157,0.100551086,0.104380525,0.108339867,0.112449394,0.116731975,0.125925406,0.178565972,0.049757438
1, 63in50,0.02,0.214113871,0.2,0,Acceleration,1,3,0.057700686,0.09295931,0.131819068,0.142200709,0.147616354,0.15321571,0.159027458,0.165083942,0.178085417,0.25253042,0.070367644
1, 63in50,0.02,0.214113871,0.2,0,Acceleration,2,1,0.040507837,0.065260587,0.092541454,0.099829718,0.103631685,0.107562622,0.111642666,0.115894523,0.125021999,0.177284915,0.049400472
1, 63in50,0.02,0.214113871,0.2,0,Acceleration,2,2,0.040507837,0.065260587,0.092541454,0.099829718,0.103631685,0.107562622,0.111642666,0.115894523,0.125021999,0.177284915,0.049400472
1, 63in50,0.02,0.214113871,0.2,0,Acceleration,2,3,0.057286733,0.092292407,0.130873379,0.141180541,0.146557334,0.152116518,0.157886573,0.163899607,0.176807806,0.250718731,0.069862817
1, 63in50,0.02,0.214113871,0.2,0,Acceleration,3,1,0.040217228,0.064792398,0.091877549,0.099113525,0.102888216,0.106790952,0.110841726,0.11506308,0.124125073,0.176013048,0.049046066
